"SongNumber","Songtitle","","","AlbumName","","","ArtistLocation","","ArtistName","","","","Danceability","Duration","KeySignature","KeySignatureConfidence","Popularity","Tempo","TimeSignature","TimeSignatureConfidence","Year","ArtistFamiliarity","ArtistPopularity","Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7","Genre 8","Genre 9","Genre 10","Genre 11","Genre 12","Genre 13","Genre 14","Genre 15","Genre 16","Genre 17","Genre 18","Genre 19","Genre 20","Genre 21","Genre 22"
"7883","b'L'Amour Existe Encore""","L'Amour Existe Encore""","L'Amour Existe Encore","b'Toutes Les Femmes En Moi'","Toutes Les Femmes En Moi'","Toutes Les Femmes En Moi","","","Lara Fabian'","Lara Fabian'","Lara Fabian'","Lara Fabian","0","229.72036","6","0.505","0.394394856","106.01","4","0.889","2009","0.631702562","0.458210742","french","","","","","","","","","","","","","","","","","","","","",""
"7884","b'Les Depenailles'","Les Depenailles'","Les Depenailles","b'Patamob'","Patamob'","Patamob","FR'","FR","Klimperei'","Klimperei'","Klimperei'","Klimperei","0","110.10567","0","0.512","0","133.96","3","0","0","0.3949625","0.310087326","","","","","","","","","","","","","","","","","","","","","",""
"7885","b'Heut' Nacht""","Heut' Nacht""","Heut' Nacht","b'85555'","85555'","85555","","","Spliff'","Spliff'","Spliff'","Spliff","0","264.41098","11","0.285","0.575319688","107.965","4","0.222","1982","0.543971487","0.358685666","ndw ","german","","","","","","","","","","","","","","","","","","","",""
"7886","b'Diamond Eyes (Album Version)'","Diamond Eyes (Album Version)'","Diamond Eyes (Album Version)","b'Diamond Eyes'","Diamond Eyes'","Diamond Eyes","Sacramento CA'","Sacramento CA","Deftones'","Deftones'","Deftones'","Deftones","0","188.26404","8","0.544","0.627531467","153.713","1","1","2010","0.821697317","0.601729756","alternative metal ","american ","metal ","experimental rock ","rock and indie ","alternative rock ","nu metal ","americain ","usa ","new metal ","rock","","","","","","","","","","",""
"7887","b'Una dolce melodia'","Una dolce melodia'","Una dolce melodia","b'Io e te per sempre'","Io e te per sempre'","Io e te per sempre","Sona-Bata Zaire'","Sona-Bata Zaire","Franco_ Valeriana'","Franco_ Valeriana'","Franco_ Valeriana'","Franco_ Valeriana","0","205.50485","11","0.905","nan","112.181","3","1","0","0.600486543","0.453270236","","","","","","","","","","","","","","","","","","","","","",""
"7888","b'The Witching Hour'","The Witching Hour'","The Witching Hour","b'STORIES'","STORIES'","STORIES","","","John Mayall'","John Mayall'","John Mayall'","John Mayall","0","262.79138","5","0.161","0","172.909","4","0.785","2002","0.626803106","0.405234691","rock ","blues rock ","british ","english ","classic pop and rock ","blues","","","","","","","","","","","","","","","",""
"7889","b'Love Me'","Love Me'","Love Me","b'Mini Monsters EP'","Mini Monsters EP'","Mini Monsters EP","Nashville TN'","Nashville TN","Jars Of Clay'","Jars Of Clay'","Jars Of Clay'","Jars Of Clay","0","191.81669","2","0.544","0.345802234","128.018","3","0.395","2006","0.749029875","0.575501205","rock ","christian","","","","","","","","","","","","","","","","","","","",""
"7890","b'Leather Prowler'","Leather Prowler'","Leather Prowler","b'Liars'","Liars'","Liars","LA / NYC'","LA / NYC","Liars'","Liars'","Liars'","Liars","0","265.09016","8","0.124","0.608552821","143.748","4","1","2007","0.786359137","0.420412618","alternative rock ","rock ","art punk ","dance-punk ","noise rock ","experimental rock ","rock and indie","","","","","","","","","","","","","","",""
"7891","b'Put Down Your Weapons'","Put Down Your Weapons'","Put Down Your Weapons","b'Live In Paris'","Live In Paris'","Live In Paris","Detroit USA'","Detroit USA","Yami Bolo'","Yami Bolo'","Yami Bolo'","Yami Bolo","0","219.402","0","0.647","0.260506007","85.81100000000001","4","0.449","2000","0.495502207","0.322482578","","","","","","","","","","","","","","","","","","","","","",""
"7892","b'Underarms'","Underarms'","Underarms","b'Ba-Dop-Boom-Bang'","Ba-Dop-Boom-Bang'","Ba-Dop-Boom-Bang","Barbados West Indies'","Barbados West Indies","Grandmaster Flash'","Grandmaster Flash'","Grandmaster Flash'","Grandmaster Flash","0","190.17098","7","0.095","0.266955186","117.535","4","0.653","1987","0.627970753","0.455884679","classic pop and rock","","","","","","","","","","","","","","","","","","","","",""
"7893","b'Te Necesito'","Te Necesito'","Te Necesito","b'Abrazame Fuerte'","Abrazame Fuerte'","Abrazame Fuerte","New Orleans LA'","New Orleans LA","Angelica Maria'","Angelica Maria'","Angelica Maria'","Angelica Maria","0","160.83546","0","0.789","nan","81.649","4","0.892","0","0.437889503","0.309901683","","","","","","","","","","","","","","","","","","","","","",""
"7894","b'Terraplane Blues'","Terraplane Blues'","Terraplane Blues","b'Terraplane'","Terraplane'","Terraplane","Vermont'","Vermont","Scott Ainslie'","Scott Ainslie'","Scott Ainslie'","Scott Ainslie","0","208.1171","2","0.447","0.253834736","103.829","1","0","0","0.331226241","0.226516083","","","","","","","","","","","","","","","","","","","","","",""
"7895","b'L'idole des femmes""","L'idole des femmes""","L'idole des femmes","b'Le Monde de Pierrot'","Le Monde de Pierrot'","Le Monde de Pierrot","","","Pierre Perret'","Pierre Perret'","Pierre Perret'","Pierre Perret","0","143.46404","2","0.599","nan","112.032","3","0.331","1994","0.018501542","0.352976472","","","","","","","","","","","","","","","","","","","","","",""
"7896","b'The Harbour'","The Harbour'","The Harbour","b'Goodbye Bafana'","Goodbye Bafana'","Goodbye Bafana","","","Dario Marianelli'","Dario Marianelli'","Dario Marianelli'","Dario Marianelli","0","227.99628","5","0.291","0.355285536","126.615","3","0.417","2007","0.613464932","0.412115553","italian ","european","","","","","","","","","","","","","","","","","","","",""
"7897","b'All Or Nothing  (Wonderful World Album Version)'","All Or Nothing  (Wonderful World Album Version)'","All Or Nothing  (Wonderful World Album Version)","b'To Have And To Hold'","To Have And To Hold'","To Have And To Hold","California'","California","Chris Eaton'","Chris Eaton'","Chris Eaton'","Chris Eaton","0","287.65995","7","0.452","nan","100.811","4","0.304","0","0.486562643","0.333663204","","","","","","","","","","","","","","","","","","","","","",""
"7898","b'Toda Mi Vida'","Toda Mi Vida'","Toda Mi Vida","b'10 de Coleccion'","10 de Coleccion'","10 de Coleccion","","","Jay Perez'","Jay Perez'","Jay Perez'","Jay Perez","0","201.32526","7","0.736","0","201.21","4","0.59","0","0.5501038499999999","0.386237683","","","","","","","","","","","","","","","","","","","","","",""
"7899","b'La Rosa'","La Rosa'","La Rosa","b'Ensename'","Ensename'","Ensename","Edinburg TX'","Edinburg TX","Bobby Pulido'","Bobby Pulido'","Bobby Pulido'","Bobby Pulido","0","187.97669","9","0.555","nan","196.681","4","0","1996","0.575844757","0.426851853","","","","","","","","","","","","","","","","","","","","","",""
"7900","b'End Of The Beginning'","End Of The Beginning'","End Of The Beginning","b'A Beautiful Lie + 30 Seconds To Mars'","A Beautiful Lie + 30 Seconds To Mars'","A Beautiful Lie + 30 Seconds To Mars","Los Angeles CA'","Los Angeles CA","30 Seconds To Mars'","30 Seconds To Mars'","30 Seconds To Mars'","30 Seconds To Mars","0","277.28934","10","0.696","0.788862009","98.50700000000001","4","1","2002","0.909324834","0.677087547","pop and chart ","emo ","united states","","","","","","","","","","","","","","","","","","",""
"7901","b'Dio Nisia'","Dio Nisia'","Dio Nisia","b'To Fili Tis Zois'","To Fili Tis Zois'","To Fili Tis Zois","","","Giorgos Sabanis'","Giorgos Sabanis'","Giorgos Sabanis'","Giorgos Sabanis","0","247.66649","2","0.491","nan","116.024","4","0.735","0","0.255585292","0.2359896","","","","","","","","","","","","","","","","","","","","","",""
"7902","b'Lift Jesus Up'","Lift Jesus Up'","Lift Jesus Up","b'Hear Our Prayers O Lord'","Hear Our Prayers O Lord'","Hear Our Prayers O Lord","Mississippi'","Mississippi","The Jackson Southernaires'","The Jackson Southernaires'","The Jackson Southernaires'","The Jackson Southernaires","0","235.36281","6","0.06900000000000001","nan","103.916","4","0.5580000000000001","0","0.323008991","0.31143764","","","","","","","","","","","","","","","","","","","","","",""
"7903","b'Jubilation T. Cornpone'","Jubilation T. Cornpone'","Jubilation T. Cornpone","bLi'l Abner""""","Li'l Abner""""","Li'l Abner","New York NY'","New York NY","Shelly Manne'","Shelly Manne'","Shelly Manne'","Shelly Manne","0","190.74567","0","0.634","0.239629098","125.693","1","0","0","0.47432902","0","","","","","","","","","","","","","","","","","","","","","",""
"7904","b'Kicking And Screaming'","Kicking And Screaming'","Kicking And Screaming","b'Memory And Humanity'","Memory And Humanity'","Memory And Humanity","Wales'","Wales","Funeral For A Friend'","Funeral For A Friend'","Funeral For A Friend'","Funeral For A Friend","0","205.16526","2","0.719","0.345802234","134.009","4","0.175","2008","0.851073009","0.5904492770000001","rock and indie","","","","","","","","","","","","","","","","","","","","",""
"7905","b'Slow And Low'","Slow And Low'","Slow And Low","b'King Of Rock'","King Of Rock'","King Of Rock","","","RUN-DMC'","RUN-DMC'","RUN-DMC'","RUN-DMC","0","266.21342","6","0","nan","163.881","4","0.82","1985","0.686988955","0.606630152","hip-hop ","rock and indie ","hip hop ","rap","","","","","","","","","","","","","","","","","",""
"7906","b'Lookin' for My Baby""","Lookin' for My Baby""","Lookin' for My Baby","bBest of 40's and 50's_ Vol. 16""""","Best of 40's and 50's_ Vol. 16""""","Best of 40's and 50's_ Vol. 16","Inverness MS'","Inverness MS","Little Milton'","Little Milton'","Little Milton'","Little Milton","0","175.82975","10","0","nan","110.3","4","0.594","1994","0.579424108","0.386441097","","","","","","","","","","","","","","","","","","","","","",""
"7907","b'Life's Blood""","Life's Blood""","Life's Blood","b'Best Of'","Best Of'","Best Of","Orange County CA'","Orange County CA","Eighteen Visions'","Eighteen Visions'","Eighteen Visions'","Eighteen Visions","0","171.12771","6","0.115","nan","109.44","3","0","1997","0.752365974","0.440107997","","","","","","","","","","","","","","","","","","","","","",""
"7908","b'Black Connect 3'","Black Connect 3'","Black Connect 3","b'Another Heist'","Another Heist'","Another Heist","New York NY [Bronx'","New York NY [Bronx","Camp Lo'","Camp Lo'","Camp Lo'","Camp Lo","0","267.17995","10","0.243","0.400039657","111.81","5","0.579","2009","0.655483478","0.445216987","hip hop rnb and dance hall","","","","","","","","","","","","","","","","","","","","",""
"7909","b'The Way Of Love (West Coast Diaries Vol. 1 Album Version)'","The Way Of Love (West Coast Diaries Vol. 1 Album Version)'","The Way Of Love (West Coast Diaries Vol. 1 Album Version)","b'West Coast Diaries Vol.1-cass.'","West Coast Diaries Vol.1-cass.'","West Coast Diaries Vol.1-cass.","","","Charlie Peacock'","Charlie Peacock'","Charlie Peacock'","Charlie Peacock","0","227.60444","11","0.442","0","114.216","4","0.755","0","0.481180212","0.379495651","","","","","","","","","","","","","","","","","","","","","",""
"7910","b'Leaving The Docks'","Leaving The Docks'","Leaving The Docks","b'The Secret Garden'","The Secret Garden'","The Secret Garden","","","Zbigniew Preisner'","Zbigniew Preisner'","Zbigniew Preisner'","Zbigniew Preisner","0","87.45751","4","0.768","0.482137585","120.234","4","0.326","1993","0.639158708","0.497544085","","","","","","","","","","","","","","","","","","","","","",""
"7911","b'Noche De Paz'","Noche De Paz'","Noche De Paz","b'Obras Cumbres'","Obras Cumbres'","Obras Cumbres","New Hampshire'","New Hampshire","SUMO'","SUMO'","SUMO'","SUMO","0","127.05914","7","0.283","0.487112195","105.434","4","0","1987","0.5940475039999999","0.47136205","","","","","","","","","","","","","","","","","","","","","",""
"7912","b'Village Dance'","Village Dance'","Village Dance","b'A New Day'","A New Day'","A New Day","Pretoria'","Pretoria","Vana'","Vana'","Vana'","Vana","0","227.082","7","0.476","0","146.606","4","0.579","0","0.15960547","0.3283663","","","","","","","","","","","","","","","","","","","","","",""
"7913","b'4 In The Morning'","4 In The Morning'","4 In The Morning","b'4 In The Morning'","4 In The Morning'","4 In The Morning","","","Gwen Stefani'","Gwen Stefani'","Gwen Stefani'","Gwen Stefani","0","294.19057","0","0.278","nan","124.517","4","0","2006","0.837872047","0.532803542","ska punk ","pop rock ","rnb ","rock ","pop rap ","dance-pop ","pop ","new wave ","american ","pop and chart ","no doubt ","united states","","","","","","","","","",""
"7914","b'Cajun Baby (LP Version)'","Cajun Baby (LP Version)'","Cajun Baby (LP Version)","b'Tales From The Ozone'","Tales From The Ozone'","Tales From The Ozone","","","Commander Cody And His Lost Planet Airmen'","Commander Cody And His Lost Planet Airmen'","Commander Cody And His Lost Planet Airmen'","Commander Cody And His Lost Planet Airmen","0","161.88036","2","0.859","0","166.531","1","0","1975","0.487445648","0.383140731","country","","","","","","","","","","","","","","","","","","","","",""
"7915","b'Midnight Jump'","Midnight Jump'","Midnight Jump","b'Be Careful How You Vote'","Be Careful How You Vote'","Be Careful How You Vote","Vance MS'","Vance MS","Sunnyland Slim'","Sunnyland Slim'","Sunnyland Slim'","Sunnyland Slim","0","246.04689","7","0.5659999999999999","0.265861049","186.511","4","0.784","1994","0.485792919","0.332870567","","","","","","","","","","","","","","","","","","","","","",""
"7916","b'Marching'","Marching'","Marching","b'Worry a Lot'","Worry a Lot'","Worry a Lot","","","The Zebras'","The Zebras'","The Zebras'","The Zebras","0","131.68281","4","0.295","0.379523324","151.199","1","0","2006","0.50904767","0.308058363","","","","","","","","","","","","","","","","","","","","","",""
"7917","b'Que Suene Mi Campana'","Que Suene Mi Campana'","Que Suene Mi Campana","b'Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2'","Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2'","Discos Fuentes Salsa All Stars- La Biblia De La Salsa Vol. 1 & 2","","","Sonora Carruseles'","Sonora Carruseles'","Sonora Carruseles'","Sonora Carruseles","0","264.07138","1","0.361","nan","80.672","7","0.638","2000","0.560351641","0.365026438","","","","","","","","","","","","","","","","","","","","","",""
"7918","b'For My People'","For My People'","For My People","b'Business As Usual'","Business As Usual'","Business As Usual","allentown Pennsylvania USA'","allentown Pennsylvania USA","EPMD'","EPMD'","EPMD'","EPMD","0","188.31628","10","0.82","0.490808488","186.393","4","0.506","1990","0.698291624","0.453850265","hip hop","","","","","","","","","","","","","","","","","","","","",""
"7919","b'Just Don't Give A Fuck""","Just Don't Give A Fuck""","Just Don't Give A Fuck","b'The Slim Shady LP'","The Slim Shady LP'","The Slim Shady LP","St. Joseph MO'","St. Joseph MO","Eminem'","Eminem'","Eminem'","Eminem","0","242.62485","1","0.315","0.74302504","90.18000000000001","4","0.93","1998","0.871010615","0.879236745","hip-hop ","detroit hip-hop ","american ","pop and chart ","us ","hiphop ","8 mile ","midwest hip-hop ","hip hop","","","","","","","","","","","","",""
"7920","b'Floating'","Floating'","Floating","b'I Am What I Am'","I Am What I Am'","I Am What I Am","Vancouver British Columbia Cana'","Vancouver British Columbia Cana","Moist'","Moist'","Moist'","Moist","0","302.28853","2","0.276","0.299702337","104.989","4","0.449","0","0.5983325","0.320507918","","","","","","","","","","","","","","","","","","","","","",""
"7921","b'1001 Robots'","1001 Robots'","1001 Robots","b'I_ Robot'","I_ Robot'","I_ Robot","","","Marco Beltrami'","Marco Beltrami'","Marco Beltrami'","Marco Beltrami","0","256.39138","6","0.192","nan","79.86","4","0.527","2004","0.594832624","0.378649979","italian ","soundtrack","","","","","","","","","","","","","","","","","","","",""
"7922","b'You Don't Belong""","You Don't Belong""","You Don't Belong","b'Process Of Belief'","Process Of Belief'","Process Of Belief","Los Angeles Ca'","Los Angeles Ca","Bad Religion'","Bad Religion'","Bad Religion'","Bad Religion","0","169.87383","7","0.761","0.676467189","166.864","4","0","2002","0.858677442","0.618219159","usa ","american ","punk rock ","punk ","hardcore punk ","epitaph ","atlantic ","classic hardcore punk ","melodic hardcore ","classic punk ","americain ","rock and indie ","california punk ","california","","","","","","","",""
"7923","b'Ring The Alarm'","Ring The Alarm'","Ring The Alarm","bNineteen Naughty Nine Nature's Fury""""","Nineteen Naughty Nine Nature's Fury""""","Nineteen Naughty Nine Nature's Fury","East Orange NJ'","East Orange NJ","Naughty By Nature'","Naughty By Nature'","Naughty By Nature'","Naughty By Nature","0","236.95628","7","0.6929999999999999","0.463489662","142.82","5","1","1999","0.679748141","0.458595403","rock and indie ","hip hop","","","","","","","","","","","","","","","","","","","",""
"7924","b'Respect This Hustle (Explicit Album Version)'","Respect This Hustle (Explicit Album Version)'","Respect This Hustle (Explicit Album Version)","b'T.I. VS T.I.P.'","T.I. VS T.I.P.'","T.I. VS T.I.P.","Atlanta GA'","Atlanta GA","T.I.'","T.I.'","T.I.'","T.I.","0","266.84036","1","0.555","0.614747884","87.52500000000001","4","1","0","0.842673051","0.872838921","hip hop rnb and dance hall","","","","","","","","","","","","","","","","","","","","",""
"7925","b'Meeran Sad Laeen Je Toon'","Meeran Sad Laeen Je Toon'","Meeran Sad Laeen Je Toon","b'Teri Bandi Haan'","Teri Bandi Haan'","Teri Bandi Haan","","","Faiz Ali Faiz'","Faiz Ali Faiz'","Faiz Ali Faiz'","Faiz Ali Faiz","0","878.75873","6","0.875","nan","89.3","3","0.25","0","0.363280571","0.306676093","","","","","","","","","","","","","","","","","","","","","",""
"7926","b'Again (Instrumental)'","Again (Instrumental)'","Again (Instrumental)","b'Again'","Again'","Again","Los Angeles &amp; New York'","Los Angeles &amp; New York","Janet Jackson'","Janet Jackson'","Janet Jackson'","Janet Jackson","0","232.202","0","0.418","0.234995406","130.229","4","0","1993","0.881694731","0.568201422","pop and chart ","the queen ","janet-jackson","","","","","","","","","","","","","","","","","","",""
"7927","b'Come On (Sessions@AOL Version)'","Come On (Sessions@AOL Version)'","Come On (Sessions@AOL Version)","b'Sessions@AOL - EP'","Sessions@AOL - EP'","Sessions@AOL - EP","Scotland'","Scotland","Ben Jelen'","Ben Jelen'","Ben Jelen'","Ben Jelen","0","219.61098","8","0.907","0.212045405","136.217","4","0.302","0","0.630247495","0.37790448","","","","","","","","","","","","","","","","","","","","","",""
"7928","b'Forget Me Knots (Bailey Remix)'","Forget Me Knots (Bailey Remix)'","Forget Me Knots (Bailey Remix)","b'Sound Advice / Forget Me Knots Remixes'","Sound Advice / Forget Me Knots Remixes'","Sound Advice / Forget Me Knots Remixes","Bristol England'","Bristol England","Roni Size'","Roni Size'","Roni Size'","Roni Size","0","397.08689","6","0.295","0.215080319","87.351","4","1","0","0.674160475","0.478490733","bristol ","rock and indie ","drum and bass ","british","","","","","","","","","","","","","","","","","",""
"7929","b'Tear It Up (LP Version)'","Tear It Up (LP Version)'","Tear It Up (LP Version)","b'Take It To Heart'","Take It To Heart'","Take It To Heart","St. Louis MO'","St. Louis MO","Michael McDonald'","Michael McDonald'","Michael McDonald'","Michael McDonald","0","267.83302","2","0.624","nan","170.192","4","0.678","0","0.712675251","0.5633626940000001","","","","","","","","","","","","","","","","","","","","","",""
"7930","b'Voyage to eternal Life'","Voyage to eternal Life'","Voyage to eternal Life","b'Doomed Dark Years'","Doomed Dark Years'","Doomed Dark Years","Athens Greece'","Athens Greece","Astarte'","Astarte'","Astarte'","Astarte","0","568.78975","0","0.355","nan","128.518","4","0.774","1998","0.537088297","0.352919184","black metal","","","","","","","","","","","","","","","","","","","","",""
"7931","b'Radioland'","Radioland'","Radioland","b'Radioland'","Radioland'","Radioland","Fayetteville AR'","Fayetteville AR","The Cate Brothers'","The Cate Brothers'","The Cate Brothers'","The Cate Brothers","0","273.8673","0","0.629","nan","113.557","4","0.638","0","0.29143326","0.190346162","","","","","","","","","","","","","","","","","","","","","",""
"7932","b'If I Couldn't Hold Back The Dawn""","If I Couldn't Hold Back The Dawn""","If I Couldn't Hold Back The Dawn","b'Hey Joe'","Hey Joe'","Hey Joe","","","Carl Smith'","Carl Smith'","Carl Smith'","Carl Smith","0","156.55138","10","0.272","0","134.539","4","0.779","0","0.55143496","0.351717751","","","","","","","","","","","","","","","","","","","","","",""
"7933","b'The Benevolent Path'","The Benevolent Path'","The Benevolent Path","b'The Dystopia Journals'","The Dystopia Journals'","The Dystopia Journals","Bergen'","Bergen","Vulture Industries'","Vulture Industries'","Vulture Industries'","Vulture Industries","0","379.29751","7","0.435","nan","100.078","4","1","2007","0.517306574","0.455495289","","","","","","","","","","","","","","","","","","","","","",""
"7934","b'Down South Blues'","Down South Blues'","Down South Blues","bI Ain't Gonna Be Worried No More 1929-1941""""","I Ain't Gonna Be Worried No More 1929-1941""""","I Ain't Gonna Be Worried No More 1929-1941","Ripley TN'","Ripley TN","Sleepy John Estes'","Sleepy John Estes'","Sleepy John Estes'","Sleepy John Estes","0","188.26404","11","0.789","nan","78.498","1","0.527","1935","0.519000072","0.35303574","","","","","","","","","","","","","","","","","","","","","",""
"7935","b'Looking In Your Eyes'","Looking In Your Eyes'","Looking In Your Eyes","b'Join The Army'","Join The Army'","Join The Army","Venice CA'","Venice CA","Suicidal Tendencies'","Suicidal Tendencies'","Suicidal Tendencies'","Suicidal Tendencies","0","167.78404","4","0.022","0.550647153","166.09","7","0.369","1987","0.736677413","0.526182556","punk ","thrash metal ","crossover thrash ","metal ","hardcore punk ","usa ","thrash ","rapcore ","american ","funk metal ","alternative metal","","","","","","","","","","",""
"7936","b'The Law Gonna Step On You (1931)'","The Law Gonna Step On You (1931)'","The Law Gonna Step On You (1931)","b'Twist It Babe (1931-1940)'","Twist It Babe (1931-1940)'","Twist It Babe (1931-1940)","Bolton MS'","Bolton MS","Bo Carter'","Bo Carter'","Bo Carter'","Bo Carter","0","162.24608","3","0.752","0.252445819","116.083","3","0.508","0","0.469671583","0.357470403","","","","","","","","","","","","","","","","","","","","","",""
"7937","b'Crazy'","Crazy'","Crazy","b'Young Lust: The Aerosmith Anthology'","Young Lust: The Aerosmith Anthology'","Young Lust: The Aerosmith Anthology","Boston MA'","Boston MA","Aerosmith'","Aerosmith'","Aerosmith'","Aerosmith","0","318.61506","6","0","nan","232.709","3","1","1993","0.872536599","0.610731463","heavy metal ","hard rock ","rock ","metal ","american ","blues rock ","classic pop and rock","","","","","","","","","","","","","","",""
"7938","b'Bitches For Breakfast'","Bitches For Breakfast'","Bitches For Breakfast","bBoy's Life""""","Boy's Life""""","Boy's Life","Tokyo Japan'","Tokyo Japan","Vodka Collins'","Vodka Collins'","Vodka Collins'","Vodka Collins","0","119.30077","2","0.011","0","151.357","4","0.527","0","0.41178907","0.406409656","","","","","","","","","","","","","","","","","","","","","",""
"7939","b'Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams)'","Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams)'","Rude Bwoy Love (feat. Dj Fly_ Dj Traxx_ T.Williams)","b'Rude Bwoy Love (Single)'","Rude Bwoy Love (Single)'","Rude Bwoy Love (Single)","","","Nicky B_ Naelle'","Nicky B_ Naelle'","Nicky B_ Naelle'","Nicky B_ Naelle","0","251.55873","7","0.673","nan","173.974","4","0","0","0.59540924","0.412699765","","","","","","","","","","","","","","","","","","","","","",""
"7940","b'All For The Sake Of The Song'","All For The Sake Of The Song'","All For The Sake Of The Song","b'Long Way To Mexico'","Long Way To Mexico'","Long Way To Mexico","","","Roger Creager'","Roger Creager'","Roger Creager'","Roger Creager","0","277.55057","0","0.822","0.33888672","80.97499999999999","4","0.313","2003","0.674519457","0.441559083","","","","","","","","","","","","","","","","","","","","","",""
"7941","b'Red Barchetta (feat. James LaBrie_ James Murphey_ Sean Malone_ Sean Reinert & David Townson)'","Red Barchetta (feat. James LaBrie_ James Murphey_ Sean Malone_ Sean Reinert & David Townson)'","Red Barchetta (feat. James LaBrie_ James Murphey_ Sean Malone_ Sean Reinert & David Townson)","b'Prime Cuts_ Volume 2'","Prime Cuts_ Volume 2'","Prime Cuts_ Volume 2","Hamilton Ohio'","Hamilton Ohio","Steve Morse'","Steve Morse'","Steve Morse'","Steve Morse","0","342.09914","8","0","0.265861049","154.113","4","1","0","0.589903022","0.420692588","","","","","","","","","","","","","","","","","","","","","",""
"7942","b'Chiove'","Chiove'","Chiove","b'The Italian Sessions'","The Italian Sessions'","The Italian Sessions","","","Rita Chiarelli'","Rita Chiarelli'","Rita Chiarelli'","Rita Chiarelli","0","228.38812","8","1","nan","99.381","1","0.907","2006","0.404823303","0.288050285","","","","","","","","","","","","","","","","","","","","","",""
"7943","b'Des Votres'","Des Votres'","Des Votres","b'Rouge'","Rouge'","Rouge","","","Fredericks_ Goldman_ Jones'","Fredericks_ Goldman_ Jones'","Fredericks_ Goldman_ Jones'","Fredericks_ Goldman_ Jones","0","344.21506","5","0.489","nan","153.939","4","0.479","0","0.382720017","0.305101217","","","","","","","","","","","","","","","","","","","","","",""
"7944","b'Apagon'","Apagon'","Apagon","b'La Calle Es Tuya?'","La Calle Es Tuya?'","La Calle Es Tuya?","","","Estopa'","Estopa'","Estopa'","Estopa","0","185.83465","2","0.834","0.53066303","146.051","4","0.5639999999999999","0","0.626821327","0.388752603","","","","","","","","","","","","","","","","","","","","","",""
"7945","b'Danny'","Danny'","Danny","b'20 Of Her Best'","20 Of Her Best'","20 Of Her Best","Beaumont TX'","Beaumont TX","Billie Jo Spears'","Billie Jo Spears'","Billie Jo Spears'","Billie Jo Spears","0","124.9171","7","0.49","nan","64.996","4","0","0","0.523714637","0.384611084","","","","","","","","","","","","","","","","","","","","","",""
"7946","b'Dangerously In Love Medley'","Dangerously In Love Medley'","Dangerously In Love Medley","b'The Beyonce Experience Live Audio'","The Beyonce Experience Live Audio'","The Beyonce Experience Live Audio","","","Beyonce'","Beyonce'","Beyonce'","Beyonce","0","419.70893","3","0.55","nan","109.522","4","0.694","0","0.889460725","0.619431422","hip hop rnb and dance hall ","rnb ","pop","","","","","","","","","","","","","","","","","","",""
"7947","b'Army'","Army'","Army","b'The Omen'","The Omen'","The Omen","California - SF'","California - SF","Tunsi'","Tunsi'","Tunsi'","Tunsi","0","12.72118","4","0.079","nan","84.60599999999999","1","0","0","0.473803925","0.316721953","","","","","","","","","","","","","","","","","","","","","",""
"7948","b'Tercer Mundo'","Tercer Mundo'","Tercer Mundo","b'Tercer Mundo'","Tercer Mundo'","Tercer Mundo","","","Fito Paez'","Fito Paez'","Fito Paez'","Fito Paez","0","284.26404","7","0.506","0.450762242","97.86499999999999","4","1","1990","0.6578268860000001","0.458730806","","","","","","","","","","","","","","","","","","","","","",""
"7949","b'Watched By An Angel'","Watched By An Angel'","Watched By An Angel","b'Nothing But The Truth'","Nothing But The Truth'","Nothing But The Truth","","","Bob Carlisle'","Bob Carlisle'","Bob Carlisle'","Bob Carlisle","0","274.54649","1","0","0","85.979","4","0.108","0","0.563583586","0.388527293","","","","","","","","","","","","","","","","","","","","","",""
"7950","b'I'll Be Around""","I'll Be Around""","I'll Be Around","b'Remembering The Sixties'","Remembering The Sixties'","Remembering The Sixties","Coventry England'","Coventry England","Frank Ifield'","Frank Ifield'","Frank Ifield'","Frank Ifield","0","151.71873","0","0.569","nan","109.402","4","0","0","0.469895309","0.364817618","uk ","australian ","british ","english","","","","","","","","","","","","","","","","","",""
"7951","b'Keep Hope Alive'","Keep Hope Alive'","Keep Hope Alive","b'Keep Hope Alive EP'","Keep Hope Alive EP'","Keep Hope Alive EP","Los Angeles CA'","Los Angeles CA","The Crystal Method'","The Crystal Method'","The Crystal Method'","The Crystal Method","0","341.08036","7","0.792","0.7568148","188.018","5","1","1995","0.740796616","0.555741673","electronic ","big beat","","","","","","","","","","","","","","","","","","","",""
"7952","b'Getting Old Sucks (Album Version)'","Getting Old Sucks (Album Version)'","Getting Old Sucks (Album Version)","bHere's Your Sign: Reloaded""""","Here's Your Sign: Reloaded""""","Here's Your Sign: Reloaded","Galveston TX'","Galveston TX","Bill Engvall'","Bill Engvall'","Bill Engvall'","Bill Engvall","0","132.96281","11","0.058","0","80.16200000000001","7","0.657","0","0.584266182","0.451570771","","","","","","","","","","","","","","","","","","","","","",""
